sample_path|masked_utmos|utmos_bigvgan|utmos_hifi_gan|utmos_init_bigvgan|utmos_init_hifi_gan|mcd_bigvgan|mcd_hifi_gan|masked_mcd_bigvgan|masked_mcd_hifi_gan|masked_logf0rmse_bigvgan|masked_logf0rmse_hifi_gan|logf0rmse_bigvgan|logf0rmse_hifi_gan|speech_bleu_bigvgan|speech_bleu_hifi_gan|masked_speech_bleu_bigvgan|masked_speech_bleu_hifi_gan
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_304|2.5173|3.0102|3.2625|3.4677|3.7928|1.4926|1.6047|3.8503|3.8484|0.2485|0.2249|0.0647|0.095|0.5903|0.611|0.3007|0.3618
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_582|2.757|3.1361|3.5422|3.4728|3.7803|1.4369|1.514|4.1489|4.1444|0.4705|0.309|0.2508|0.2047|0.6231|0.5319|0.3433|0.3616
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1667|2.5868|2.3034|3.031|2.4902|3.3004|1.4795|1.7073|4.2706|4.1737|0.2365|0.2455|0.202|0.1736|0.6798|0.6479|0.3251|0.388
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_610|3.2163|2.9576|3.3374|3.3303|3.5246|1.4841|1.6163|4.04|3.9689|0.3305|0.3303|0.2129|0.1703|0.675|0.6515|0.374|0.4008
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_504|2.7268|2.6696|3.093|3.1991|3.7977|1.2421|1.4283|4.024|3.947|0.5219|0.3267|0.141|0.1962|0.6445|0.6437|0.3293|0.3086
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_909|2.9857|3.3152|3.5708|3.5531|3.9104|1.3113|1.5003|4.2204|4.1254|0.2415|0.2524|0.238|0.1566|0.7221|0.6579|0.3618|0.4213
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_2265|2.5766|2.2945|2.8039|2.5075|2.8485|1.638|1.6869|4.5533|4.783|0.3968|0.3721|0.2972|0.2661|0.5625|0.5643|0.2535|0.2616
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1845|2.8421|2.8027|3.2304|3.1379|3.8263|2.0287|1.7935|4.7136|4.7157|0.3013|0.2245|0.1101|0.0997|0.5787|0.5583|0.3321|0.3653
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_19|2.5326|3.1499|3.3603|3.341|3.7948|1.587|1.7228|4.4487|4.2922|0.2556|0.2913|0.1437|0.1187|0.663|0.6485|0.3288|0.3749
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_244|2.6924|2.8493|3.2365|3.3168|3.4531|1.5662|1.6683|4.319|4.5611|0.534|0.4742|0.2605|0.202|0.6561|0.6417|0.3396|0.3785
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_378|2.3569|2.6357|2.8903|3.1943|3.6044|1.5654|1.6582|4.1791|4.0464|0.644|0.5238|0.3219|0.3357|0.6092|0.597|0.3276|0.3438
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_404|2.124|2.0187|2.4695|2.5539|2.6917|1.6245|1.9379|4.4227|4.4106|0.3948|0.3281|0.4538|0.2269|0.6431|0.6611|0.2836|0.3414
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1697|2.4835|2.3061|2.9252|2.4981|3.2601|1.4509|1.5868|4.4287|4.3823|0.5568|0.3278|0.1632|0.1432|0.5931|0.6596|0.2827|0.3291
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_2068|2.9537|3.138|3.2526|3.2135|3.5473|1.7818|1.7923|4.539|4.2934|0.3732|0.2394|0.2065|0.1483|0.6863|0.6813|0.3723|0.4001
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_915|3.2601|3.5008|3.6173|4.2327|4.3054|1.416|1.6199|4.2584|4.2321|0.3806|0.1947|0.1603|0.0969|0.7029|0.6882|0.3248|0.4153
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1119|2.8324|2.6546|3.0246|3.063|3.5594|1.4186|1.5073|3.8464|3.7392|0.3747|0.3714|0.2016|0.1958|0.6384|0.5863|0.314|0.3776
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_500|2.1448|2.2698|2.7248|2.7209|3.5104|2.1411|1.6676|4.6414|4.1271|0.2275|0.2367|0.1512|0.263|0.5798|0.5856|0.3041|0.3227
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_526|2.6966|3.1568|3.3675|3.4276|3.7744|1.5606|1.763|4.6774|4.6668|0.4543|0.4207|0.1746|0.136|0.6203|0.6335|0.3225|0.3564
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1797|3.2121|3.1054|3.451|3.4299|3.624|1.2684|1.3147|3.6785|3.5608|0.4279|0.253|0.2213|0.1274|0.5925|0.6572|0.3439|0.4006
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_603|2.8149|2.9802|2.9125|3.0442|3.4383|1.4727|1.6374|4.3744|4.3976|0.2214|0.2422|0.1989|0.1517|0.6557|0.6376|0.3151|0.3966
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1425|2.6541|2.9099|3.1543|3.3138|3.3673|1.5888|1.6275|5.0805|5.014|0.4429|0.4732|0.4246|0.2749|0.5764|0.6157|0.3783|0.3954
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1061|2.3085|2.3886|2.7252|2.7763|3.1457|1.4701|1.5063|3.3476|3.1615|0.4887|0.2957|0.2063|0.154|0.6371|0.6002|0.3195|0.42
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_847|3.4625|3.1107|3.5547|3.46|4.2418|1.3189|1.4972|3.6357|3.6856|0.2996|0.2405|0.1738|0.083|0.5805|0.6857|0.2883|0.395
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1002|2.8608|3.0251|3.0837|3.4258|3.5236|1.5016|1.4659|3.8191|3.6379|0.1867|0.2367|0.1632|0.18|0.6528|0.6429|0.3552|0.3829
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_312|3.0018|2.9205|3.295|3.4792|3.6942|1.3724|1.5258|4.1485|4.3351|0.1798|0.1816|0.1197|0.098|0.6296|0.6283|0.319|0.3578
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_275|2.5242|3.1134|3.2776|3.4106|3.8703|1.2511|1.4027|4.1162|4.1498|0.3691|0.3783|0.2188|0.1501|0.662|0.649|0.3298|0.3788
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_833|2.8241|2.8888|3.7249|3.1469|4.1072|1.2847|1.4115|4.2381|4.1514|0.4804|0.2934|0.2783|0.1627|0.6397|0.6485|0.3363|0.4112
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_2061|2.3793|3.501|3.4742|3.8522|3.7997|1.5313|1.8858|3.7524|3.6682|0.3456|0.3315|0.19|0.1717|0.6546|0.6341|0.3695|0.3676
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1784|2.9062|3.1356|3.2963|3.5463|3.9165|1.5685|1.7335|4.0072|3.8477|0.3452|0.2339|0.2382|0.1667|0.6053|0.5627|0.3289|0.4095
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_5|2.7588|2.8935|3.2355|3.4688|3.7502|1.5969|1.6881|4.4083|4.2769|0.2563|0.2537|0.1387|0.1665|0.6414|0.6408|0.2795|0.3652
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_494|2.158|2.6749|3.1459|3.0869|3.5826|1.2527|1.3509|4.4704|4.0817|0.1727|0.283|0.0706|0.1763|0.6664|0.508|0.2329|0.3341
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_2410|2.3997|2.8717|2.8868|3.014|2.9135|1.2765|1.528|3.7073|3.8104|0.3051|0.2582|0.2445|0.1738|0.6657|0.6229|0.3442|0.3655
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1864|2.6171|2.693|2.9241|3.0293|3.4591|1.4969|1.9698|4.5666|4.5054|0.37|0.3377|0.3124|0.2128|0.6757|0.6345|0.3028|0.3413
